Edad,Credito,Cumplio
58,124739,1
34,557041,0
46,55429,0
42,150457,0
53,361230,1
36,400872,1
38,343267,0
38,282191,0
28,571671,0
55,526028,1
59,170689,0
31,495863,0
23,370723,0
19,144452,1
44,421591,1
27,112782,0
27,173130,0
50,400133,1
29,194083,0
18,588953,1
35,142144,1
32,404710,0
20,219155,0
23,439917,0
45,327412,1
32,388678,0
22,479257,1
46,326745,1
29,201943,1
22,315894,0
21,143079,0
26,449189,0
43,583150,0
41,68087,0
28,338267,1
53,252856,0
45,183984,1
37,96917,0
31,334931,1
48,482290,1
46,118333,0
49,54084,0
38,61210,0
54,517164,1
51,129437,0
42,578894,1
31,471740,0
60,109752,1
46,229353,0
18,299442,1
25,423141,1
54,564999,1
57,510854,0
57,222307,1
31,415445,0
54,422339,1
38,260918,1
40,110603,0
44,195838,1
53,135553,0
32,314520,1
40,82976,0
27,375789,1
25,180375,0
23,50755,0
32,543260,1
45,263492,1
51,101463,1
41,346637,1
35,588639,0
47,287986,0
52,288095,1
28,458668,0
35,483015,0
57,281990,0
40,149312,1
54,426214,0
51,556499,0
33,439800,1
33,106945,1
44,371821,0
40,156995,1
54,65351,1
56,453101,1
30,441703,0
42,277901,0
31,296126,1
42,166675,1
39,323045,1
59,184770,0
42,113443,1
49,357677,1
57,115958,0
48,189338,0
23,474439,0
26,553586,0
49,71313,0
51,366872,1
34,368725,0
20,176377,1
51,397821,1
27,395451,1
21,181030,1
29,439991,0
60,389942,1
48,136103,0
51,573389,0
57,597523,0
19,349090,1
48,279414,0
26,252141,1
58,523345,0
32,256205,1
53,508567,1
36,537361,1
53,86250,0
29,137031,1
59,300408,0
19,398272,1
24,309105,1
40,88088,1
55,470033,0
51,475535,0
24,492841,0
49,205516,0
47,347028,1
52,107596,1
45,534689,0
47,271612,0
26,275541,0
36,85095,1
21,414509,1
39,433935,1
58,367966,1
24,346445,1
28,252687,0
19,155823,1
39,105020,0
58,507489,1
29,395488,1
23,166457,1
28,343151,1
50,110966,1
38,105336,1
37,440795,1
23,414495,1
18,111328,1
57,346623,1
45,340146,0
57,157753,0
51,162440,1
34,67355,1
24,323410,1
38,578653,0
27,245932,0
54,358019,1
34,389092,0
46,242023,1
48,117795,0
22,164814,0
20,143549,0
26,361131,0
21,511061,1
59,248057,0
47,385500,0
60,425616,1
34,300005,0
34,345705,1
51,112935,0
40,574096,0
39,362890,1
41,386344,1
26,597567,0
35,150614,1
25,70620,0
31,183915,0
21,134322,1
38,101502,1
48,83258,0
24,147376,1
53,422758,0
21,109976,1
26,531887,1
18,195844,0
28,510237,0
18,155053,0
20,552711,1
29,599041,0
60,123143,1
41,277605,0
42,165197,0
25,110325,1
46,115180,0
58,586102,1
29,515190,1
49,54230,0
49,583861,1
53,125825,0
25,500219,1
37,421548,1
27,108665,0
20,584957,0
59,378308,0
30,59262,1
43,434300,1
56,419132,1
31,314433,1
29,284997,1
52,290276,1
45,571073,1
46,167026,1
54,566362,1
37,83827,1
55,256817,1
45,174352,0
51,358212,0
45,272157,0
31,257601,0
51,174760,0
40,367556,1
21,235270,1
47,322288,0
25,188503,1
24,123255,1
44,264410,0
22,428346,1
19,417016,1
56,318693,1
22,231450,1
39,556217,1
59,392518,0
37,83750,1
47,550673,0
